in+vivo+silmade+katse-et = deprecatedTerm-admn-sts
inimravimite+tehniliste+registreerimisn%C3%B5uete+rahvusvaheline+%C3%BChtlustamiskonverents-et = supersededTerm-admn-sts
kartsinogeenne+toime-et = deprecatedTerm-admn-sts
keskkonnan%C3%B5uete+j%C3%A4rgimise+abiprogramm-et = preferredTerm-admn-sts
keskvalitsuse+v%C3%B5lakiri-et = deprecatedTerm-admn-sts
kromosoomaberratsioonkatse+imetajate+luu%C3%BCdis+in+vivo-et = preferredTerm-admn-sts
loote+arenguh%C3%A4ire-et = preferredTerm-admn-sts
molaarne+neeldumistegur-et = preferredTerm-admn-sts
neeldetegur-et = preferredTerm-admn-sts
osaliselt+konsolideeritud-et = supersededTerm-admn-sts
paljunev+rakk-et = admittedTerm-admn-sts
parafiinisisestus-et = deprecatedTerm-admn-sts
pass+through+laen-et = supersededTerm-admn-sts
poolestusaeg-et = supersededTerm-admn-sts
reaktsiooniv%C3%B5imeline+metaboliit-et = preferredTerm-admn-sts
reguleerimata+finantsettev%C3%B5te-et = supersededTerm-admn-sts
reguleerimata+maksega+v%C3%A4%C3%A4rtpaberi+riskipositsioon-et = supersededTerm-admn-sts
riskijagamisrahastu-et = preferredTerm-admn-sts
s%C3%BCnnieelse+arengutoksilisuse+uuring-et = preferredTerm-admn-sts
soodustariif-et = preferredTerm-admn-sts
strateegilise+relvastuse+piiramise+l%C3%A4bir%C3%A4%C3%A4kimised-et = preferredTerm-admn-sts
strukturaalne+k%C3%B5rvalekalle-et = deprecatedTerm-admn-sts
stsintillatsioonikokteil-et = admittedTerm-admn-sts
t%C3%B6%C3%B6h%C3%B5ive+ja+majanduskasvu+strateegia+%E2%80%9EEuroopa+2020%E2%80%9D-et = preferredTerm-admn-sts
termoanal%C3%BC%C3%BCs-et = preferredTerm-admn-sts
tupekork-et = preferredTerm-admn-sts
%C3%BCldvereringe-et = admittedTerm-admn-sts
%C3%BCmberhindamistegur-et = deprecatedTerm-admn-sts
Alpide+biogeograafiline+piirkond-et = deprecatedTerm-admn-sts
DNA+plaaniv%C3%A4lise+s%C3%BCnteesi+autoradiograafiline+test-et = preferredTerm-admn-sts
Eagle%27i+essentsiaalne+minimaals%C3%B6%C3%B6de-et = preferredTerm-admn-sts
Euroopa+Liidu+eriesindaja+Sudaanis-et = supersededTerm-admn-sts
Euroopa+Liidu+missioon+piirkondlike+merendusalaste+v%C3%B5imete+tugevdamiseks+Aafrika+Sarve+piirkonnas-et = supersededTerm-admn-sts
Euroopa+k%C3%A4sit%C3%B6%C3%B6%2C+kaubanduse+ning+VKEde+standardib%C3%BCroo-et = deprecatedTerm-admn-sts
Helsingi+p%C3%A4iseesm%C3%A4rgi+j%C3%B5unimistu-et = supersededTerm-admn-sts
Islandi+Vabariik-et = deprecatedTerm-admn-sts
Kesk-+ja+Kagu-Euroopa+t%C3%B6%C3%B6r%C3%BChm-et = supersededTerm-admn-sts
Rahvusvaheline+D%C5%BEuudi+Uurimisr%C3%BChm-et = preferredTerm-admn-sts
S-faasist+s%C3%B5ltumatu+m%C3%B5ju-et = deprecatedTerm-admn-sts
S-faasist+s%C3%B5ltumatu+toime-et = preferredTerm-admn-sts
aegtihendus-et = supersededTerm-admn-sts
ajas+integreeritud+proov-et = deprecatedTerm-admn-sts
aksillaarpiirkond-et = admittedTerm-admn-sts
ala%2C+millel+nakatumine+esile+kutsuti-et = deprecatedTerm-admn-sts
alustuskiirus-et = preferredTerm-admn-sts
arveldav+liige-et = supersededTerm-admn-sts
automatiseeritud+arveldustekoda-et = deprecatedTerm-admn-sts
bioloogiline+hapnikutarve-et = deprecatedTerm-admn-sts
ebabilansi+piirkond-et = deprecatedTerm-admn-sts
elektri+j%C3%B5ul+gaasi+tootmine-et = preferredTerm-admn-sts
elektromagnetiline+kiirgus-et = preferredTerm-admn-sts
encephalon-et = admittedTerm-admn-sts
ennustatav+surm-et = preferredTerm-admn-sts
erivisuaallend-et = preferredTerm-admn-sts
flokulatsioon-et = preferredTerm-admn-sts
funktsionaalne+kaitsekiht-et = deprecatedTerm-admn-sts
funktsionaalse+t%C3%BCmidiini+kinaasiga+rakk-et = preferredTerm-admn-sts
hinnaerinevused-et = supersededTerm-admn-sts
k%C3%BClv+triplikaadina-et = preferredTerm-admn-sts
